Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
148.0,0.1060839,-1.059673,1.165757,-1.678981,-0.2513274,-1.427654,0.5881633,-1.112715,-0.01815455,0.0750917,0.01939131,0.0557004
149.0,0.106086,-1.059809,1.165895,-1.679197,-0.2513382,-1.427859,0.5882602,-1.112852,-0.01814827,0.075104,0.01940373,0.05570027
150.0,0.1060894,-1.059951,1.16604,-1.679426,-0.2513467,-1.428079,0.5883663,-1.112996,-0.01814294,0.075116,0.01941506,0.05570095
151.0,0.1060938,-1.060097,1.166191,-1.679665,-0.2513536,-1.428312,0.5884791,-1.113144,-0.01813836,0.07512774,0.01942551,0.05570223
152.0,0.1060985,-1.060241,1.16634,-1.679902,-0.2513595,-1.428543,0.5885915,-1.11329,-0.01813411,0.07513914,0.01943546,0.05570368
153.0,0.1061035,-1.060384,1.166487,-1.680137,-0.251365,-1.428772,0.5887036,-1.113436,-0.01813025,0.07515031,0.0194449,0.0557054
154.0,0.106108,-1.060522,1.16663,-1.680365,-0.2513704,-1.428995,0.5888123,-1.113576,-0.01812625,0.07516123,0.01945436,0.05570686
155.0,0.1061123,-1.060655,1.166767,-1.680584,-0.2513762,-1.429208,0.5889157,-1.113711,-0.01812233,0.07517187,0.0194636,0.05570827
156.0,0.1061162,-1.060783,1.166899,-1.680793,-0.2513823,-1.429411,0.5890142,-1.113841,-0.01811834,0.07518225,0.01947278,0.05570947
157.0,0.1061196,-1.060904,1.167024,-1.680991,-0.2513886,-1.429603,0.589107,-1.113964,-0.01811428,0.07519231,0.01948187,0.05571044
158.0,0.1061226,-1.06102,1.167143,-1.681181,-0.251395,-1.429786,0.5891955,-1.114082,-0.01811023,0.07520205,0.0194908,0.05571125
159.0,0.1061254,-1.061133,1.167258,-1.681364,-0.2514013,-1.429963,0.5892808,-1.114195,-0.01810612,0.07521149,0.01949963,0.05571186
160.0,0.1061281,-1.061242,1.167371,-1.681543,-0.2514072,-1.430136,0.5893642,-1.114306,-0.01810216,0.07522063,0.01950815,0.05571248
161.0,0.1061308,-1.06135,1.167481,-1.681718,-0.2514128,-1.430306,0.5894464,-1.114416,-0.01809841,0.0752295,0.01951634,0.05571316
162.0,0.1061337,-1.061457,1.16759,-1.681892,-0.251418,-1.430474,0.589528,-1.114523,-0.01809487,0.0752381,0.01952418,0.05571393
163.0,0.1061366,-1.061562,1.167698,-1.682064,-0.2514227,-1.430641,0.5896091,-1.11463,-0.01809155,0.07524647,0.01953169,0.05571479
164.0,0.1061393,-1.061662,1.167801,-1.682226,-0.2514273,-1.430799,0.589686,-1.114731,-0.0180883,0.07525451,0.01953896,0.05571555
